【现货】豹了个猫原创~lolita守护圣歌OP长袖连衣裙 送 发带 吊牌在 穿一洗一  ,150   ,link: ,https://www.goofish.com/item?id=674354211833&categoryId=126860581
标价非偏远包邮预出m码粉色【缔结恋羽】韩菇凉~原创设计Lol ita洋装doll感花嫁jsk吊带连衣裙  ,169   ,link: ,https://www.goofish.com/item?id=908414531317&categoryId=201509401
裙子s 内搭m官配 自配了一对兔耳 穿一洗一 二手商品不退不换感兴趣的话点“我想要”和我私聊吧～  ,235   ,link: ,https://www.goofish.com/item?id=909815225776&categoryId=126860305
小黄油lolita 星绶天使大全套L码 裙子+绶带+大蝴蝶结+bnt 状态很好 穿过一次 邮费默认8块  ,170   ,link: ,https://www.goofish.com/item?id=908293687397&categoryId=126860305
小欣原创羽翼降临jsk 芭蕾风纯欲甜美优雅小羽毛清新loli ta连衣裙 蓝色S码，穿一洗一，水洗的羽毛没有那么蓬了，其他状态都很好，没有脏污破损。有尸吊。出去旅游了，五月初发货。预订标价包邮 [红圆]不议价，出去旅游了现在拍不了实图！！！！！！！！发货前会发实图。  ,200   ,link: ,https://www.goofish.com/item?id=908852280038&categoryId=201509401
【出】星未眠Lolita 落日维纳斯成品色 s码现货带花丸和拖尾(其他小配件都没有），仅试穿过，吊牌盒子还在有跟前娘的换物记录，标价可直拍包非偏，爽快送粉色丝带(P2画圈，P2非裙子本体裙子本体是P1)  ,210   ,link: ,https://www.goofish.com/item?id=907185665284&categoryId=126860305
芙蝶之心Lolita蓝色挂脖 从别人那里收来的拍照穿了一下看清楚再拍不嫌弃的来 小物齐全  ,145   ,link: ,https://www.goofish.com/item?id=908345898354&categoryId=201509401
【出】幻之风 lolita 牧羊少女 op 长款 灰色 m码的，压箱底太久了，出售不退 会塞小礼物或者衣服  ,149   ,link: ,https://www.goofish.com/item?id=908914861776&categoryId=201509401
【包邮出】Alice girl原创新款 Lolita芷间花 蝴蝶结荷叶黑色款 包含：jsk＋小坎肩 （黑色款） 需要p1头饰＋40 私我改价格 可直拍  ,170   ,link: ,https://www.goofish.com/item?id=908579789018&categoryId=201509401
#lolita花甜兔梦M，豹了个猫家的，只穿过一次，穿一洗一 ，有购买记录  ,190   ,link: ,https://www.goofish.com/item?id=909230494090&categoryId=201509401
